"Name","Aliases","Disc. Date","Max Date","Mmax","R.A.","Dec.","z","Type","E(B-V)","References"
"SN2007bi","SN2007bi, SNF20070406-008","2007/04/06","2007/02/28","-21.298","13:19:20.19,13:19:20.190","+08:55:44.3,+08:55:44.33,+08:55:44.29","0.1279","SLSN-I","0.0232","2009Natur.462..624G,2010A&A...512A..70Y,2012A&A...538A.120L,2016A&A...594A..13P,2007CBET..929....2C"
"PTF12mxx","PTF12mxx","2012/11/08","2012/12/10","-21.929","22:30:16.728","+27:58:22.01","0.3296","SLSN-I","0.0413","2017arXiv170801623D,2016ApJ...830...13P,2012PASP..124..668Y,2014Ap&SS.354...89B,2016A&A...594A..13P"
"PS1-10ky","PS1-10ky","2010/06/26","","-22.12","22:13:37.851,22:13:37.92,22:13:37.849","+01:14:23.57,+01:14:23.28","0.956,0.956","SLSN-I","0.0299","2011ApJ...743..114C,2017arXiv170801619L,2015MNRAS.448.1206M,2016A&A...594A..13P,2011ApJ...737..103S"
"PTF09atu","PTF09atu","2009/07/14","2009/08/18","-21.982","16:30:24.55,16:30:24.553","+23:38:25.0,+23:38:25.43","0.5015","SLSN-I","0.0409","2017arXiv170801623D,2011Natur.474..484Q,2012PASP..124..668Y,2016ApJ...830...13P,2014Ap&SS.354...89B"
"iPTF13ajg","iPTF13ajg","2013/03/11","2013/05/17","-23.5","16:39:03.95","+37:01:38.4","0.74","SLSN-I","0.0121","2014ApJ...797...24V,2012PASP..124..668Y,2014arXiv1409.8287V,2016A&A...594A..13P,2011ApJ...737..103S"
"PTF11hrq","PTF11hrq","2011/07/11","2011/07/11","-19.8","00:51:47.22","-26:25:10.0","0.057,0.057","SLSN-I","0.0119","2017arXiv170801623D,2016ApJ...830...13P,2012PASP..124..668Y,2016A&A...594A..13P,2011ApJ...737..103S"
"PS1-10pm","PS1-10pm","2010/02/24","","-21.713","12:12:42.200,12:12:42.24","+46:59:29.48,+46:59:29.4","1.206","SLSN-I","0.0153","2015MNRAS.448.1206M,2017arXiv170801619L,2016A&A...594A..13P,2014ApJ...787..138L,2011ApJ...737..103S"
"LSQ12dlf","LSQ12dlf","2012/07/10","2012/08/10","-21.91","01:50:29.80,01:50:29.78","-21:48:45.4","0.255","SLSN-I","0.011","2015A&A...579A..40S,2016arXiv160708526C,2014MNRAS.444.2096N,2012ATel.4299....1S,2016A&A...594A..13P"
"PS1-14bj","PS1-14bj","2013/11/22","2014/05/30","-20.79","10:12:08.433","+03:39:19.02","0.5215","SLSN-I","0.0205","2016ApJ...831..144L,2017arXiv170801619L,2016A&A...594A..13P,2016ApJ...828L..18N,2011ApJ...737..103S"
"PS1-10ahf","PS1-10ahf","2010/08/04","","-20.9","23:32:28.30,23:32:28.32","-00:21:43.6,-00:21:43.56","1.1","SLSN-I","0.0292","2015MNRAS.448.1206M,2017arXiv170801619L,2016A&A...594A..13P,2011ApJ...737..103S"
"SN2013hy","SN2013hy, DES13S2cmm","2013/08/30","2013/10/02","-20.44","02:42:32.82,02:42:32.83","-01:21:30.1,-01:21:30.10","0.663,0.663","SLSN-I","0.0284","2015MNRAS.449.1215P,2013ATel.5603....1P,2016A&A...594A..13P,2015ApJ...809..142O,2011ApJ...737..103S"
"SN2013dg","SN2013dg, CSS130530:131841-070443, MLS130517:131841-070443","2013/05/17","2013/06/06","-21.35","13:18:41.35,13:18:41.28","-07:04:43.0,-07:04:43.00,-07:04:42.96","0.265","SLSN-I","0.0406","2014MNRAS.444.2096N,2009ApJ...696..870D,2013CBET.3560....1D,2016A&A...594A..13P,2008yCat....1.2024B"
